report_id,mode,date,occurrence_type,company,location,url,notes
M24C0142,marine,2024-06-27,Collision,Passenger vessel Navark Faucon Millenium,"St. Lawrence River, Longueuil, Quebec",https://www.tsb.gc.ca/eng/enquetes-investigations/marine/2024/m24c0142/m24c0142.html,Recent passenger vessel collision
M24A0412,marine,2024-12-06,Fire,Fishing vessel Fundy Leader,"100 nm SW of Cape Sable, Nova Scotia",https://www.tsb.gc.ca/eng/enquetes-investigations/marine/2024/m24a0412/m24a0412.html,Most recent marine report in set
M22A0052,marine,2022-03-12,Rescue operation and subsequent loss of life,Fishing vessel Mucktown Girl / CCGS Jean Goodwill,"87.5 nm SE of Canso, Nova Scotia",https://www.tsb.gc.ca/eng/enquetes-investigations/marine/2022/m22a0052/m22a0052.html,Fishing vessel + coast guard rescue operation
M22P0298,marine,2022-10-15,Risk of collision and capsize,General cargo vessel Saga Beija-Flor,"Vancouver Harbour, British Columbia",https://www.tsb.gc.ca/eng/enquetes-investigations/marine/2022/m22p0298/m22p0298.html,"Non-fatal near-miss; TSB investigates close calls, not just fatalities"
M21A0315,marine,2021-09-17,Sinking and loss of life,,,https://www.tsb.gc.ca/eng/enquetes-investigations/marine/2021/m21a0315/m21a0315.html,
M21P0297,marine,2021-10-21,Loss of containers overboard and subsequent fire,,,https://www.tsb.gc.ca/eng/enquetes-investigations/marine/2021/m21p0297/m21p0297.html,"Cargo/container vessel incident, non-fatal, variety"
M20A0434,marine,2020-12-15,Sinking with loss of life,,,https://www.tsb.gc.ca/eng/enquetes-investigations/marine/2020/m20a0434/m20a0434.html,
M20P0229,marine,2020-08-11,Sinking with loss of life,,,https://www.tsb.gc.ca/eng/enquetes-investigations/marine/2020/m20p0229/m20p0229.html,
M19A0090,marine,2019-04-08,Capsizing and loss of life,,,https://www.tsb.gc.ca/eng/enquetes-investigations/marine/2019/m19a0090/m19a0090.html,
M18A0076,marine,2018-05-05,Capsizing and loss of life,,,https://www.tsb.gc.ca/eng/enquetes-investigations/marine/2018/m18a0076/m18a0076.html,
M17P0052,marine,2017-03-06,Capsizing and sinking with loss of life,,,https://www.tsb.gc.ca/eng/enquetes-investigations/marine/2017/m17p0052/m17p0052.html,
M17C0232,marine,2017-09-29,Person overboard and subsequent loss of life,,,https://www.tsb.gc.ca/eng/enquetes-investigations/marine/2017/m17c0232/m17c0232.html,
M16A0140,marine,2016-06-16,Capsizing and loss of life,,,https://www.tsb.gc.ca/eng/enquetes-investigations/marine/2016/m16a0140/m16a0140.html,
M15P0347,marine,2015-10-25,Capsizing and loss of life,,,https://www.tsb.gc.ca/eng/enquetes-investigations/marine/2015/m15p0347/m15p0347.html,
M15C0094,marine,2015-06-13,Passenger overboard and subsequent loss of life,,,https://www.tsb.gc.ca/eng/enquetes-investigations/marine/2015/m15c0094/m15c0094.html,"Oldest marine report in set, date-range spread"
M23C0143,marine,2023-07-02,Collision,Ferry Svanoy,"St. Lawrence River, Saint-Joseph-de-la-Rive, Quebec",https://www.tsb.gc.ca/eng/enquetes-investigations/marine/2023/m23c0143/m23c0143.html,"Ferry collision, passenger-safety angle"
A98H0003,aviation,1998-09-02,In-flight fire leading to collision with water,Swissair Transport Limited (McDonnell Douglas MD-11),"Peggy's Cove, Nova Scotia",https://www.tsb.gc.ca/eng/rapports-reports/aviation/1998/a98h0003/a98h0003.html,"Swissair Flight 111; landmark, most detailed aviation investigation in TSB history; flagship report; oldest in whole 4-mode corpus"
A25P0149,aviation,2025-09-24,Collision with terrain,"Privately registered, Bushmaster Super 22 (amateur-built)","Lillooet Aerodrome (CYLI), British Columbia",https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2025/a25p0149/a25p0149.html,Most recent aviation report in set
A25Q0051,aviation,2025-05-02,Loss of control and overturn on takeoff,"ETA Aviation & Camp du Nord, DHC-2 Beaver (floatplane)","St-Mathias Water Aerodrome (CSV9), Quebec",https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2025/a25q0051/a25q0051.html,"Floatplane, water aerodrome variety"
A25W0045,aviation,2025-05-02,Collision with terrain,Horizon Helicopters Ltd. (Airbus AS350B helicopter),"Whitehorse/Erik Nielsen Intl Airport area, Yukon",https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2025/a25w0045/a25w0045.html,"Helicopter operations, northern Canada"
A24P0107,aviation,2024-10-02,Loss of control and collision with water,Wilderness Seaplanes Ltd. (Cessna A185F),"Port Hardy Water Aerodrome (CAW5), British Columbia",https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2024/a24p0107/a24p0107.html,Seaplane
A24C0095,aviation,2024-09-08,Collision with terrain,KBM Forestry Consultants Inc. (Cessna U206F),"Lloydminster Airport (CYLL), Alberta",https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2024/a24c0095/a24c0095.html,"Forestry/utility aviation, less common operator type"
A24W0116,aviation,2024-08-29,Fuel exhaustion,Simpson Air (1981) Ltd. (DHC-2 Beaver floatplane),"Fort Simpson Island Water Aerodrome (CEZ7), NWT",https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2024/a24w0116/a24w0116.html,"Operational/fuel-management cause, distinct from terrain-collision majority"
A24P0092,aviation,2024-08-15,Collision with terrain,West Coast Helicopters Maintenance and Contracting Ltd. (AS350 B2 helicopter),"Brooks Peninsula, British Columbia",https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2024/a24p0092/a24p0092.html,
A19P0187,aviation,2019-12-21,Collision with terrain,,,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2019/a19p0187/a19p0187.html,
A19C0145,aviation,2019-12-03,Controlled flight into terrain,,,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2019/a19c0145/a19c0145.html,"CFIT, most common serious aviation occurrence type in archive"
A19P0142,aviation,2019-09-24,Main rotor blade failure and collision with terrain,,,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2019/a19p0142/a19p0142.html,"Mechanical (rotor) failure, distinct cause category"
A19W0105,aviation,2019-08-06,Controlled flight into terrain,,,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2019/a19w0105/a19w0105.html,
A19Q0128,aviation,2019-07-29,Loss of control and collision with terrain,,,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2019/a19q0128/a19q0128.html,
A19O0178,aviation,2019-11-27,Loss of control and collision with terrain,,,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2019/a19o0178/a19o0178.html,
A19Q0146,aviation,2019-08-22,Collision with terrain,,,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2019/a19q0146/a19q0146.html,2019 date-cluster for spread
